SERVICIO,LM-JLSUA,LM-CHILA,LM-VBALL,LM-MALAV,LM-SANDR,LM-SMART,LM-MIGUE,LM-PUEYR,LM-URQUI,LM-DRAGO,LM-BELGR,LM-COLEG,LM-CARRA,LM-3FEBR,LM-RETIR
3544,09:52,09:55,09:58,10:01,10:03,10:06,10:10,10:14,10:17,10:19,10:23,10:27,10:30,10:33,10:42
3548,10:10,10:13,10:16,10:19,10:21,10:24,10:28,10:32,10:35,10:37,10:41,10:45,10:48,10:51,11:00
3550,10:28,10:31,10:34,10:37,10:39,10:42,10:46,10:50,10:53,10:55,10:59,11:03,11:06,11:09,11:18
3554,10:46,10:49,10:52,10:55,10:57,11:00,11:04,11:08,11:11,11:13,11:17,11:21,11:24,11:27,11:36
3556,11:04,11:07,11:10,11:13,11:15,11:18,11:22,11:26,11:29,11:31,11:35,11:39,11:42,11:45,11:54
3560,11:22,11:25,11:28,11:31,11:33,11:36,11:40,11:44,11:47,11:49,11:53,11:57,12:00,12:03,12:12
3562,11:40,11:43,11:46,11:49,11:51,11:54,11:58,12:02,12:05,12:07,12:11,12:15,12:18,12:21,12:30
3566,11:58,12:01,12:04,12:07,12:09,12:12,12:16,12:20,12:23,12:25,12:29,12:33,12:36,12:39,12:48
3568,12:16,12:19,12:22,12:25,12:27,12:30,12:34,12:38,12:41,12:43,12:47,12:51,12:54,12:57,13:06
3572,12:34,12:37,12:40,12:43,12:45,12:48,12:52,12:56,12:59,13:01,13:05,13:09,13:12,13:15,13:24
3574,12:52,12:55,12:58,13:01,13:03,13:06,13:10,13:14,13:17,13:19,13:23,13:27,13:30,13:33,13:42
3578,13:10,13:13,13:16,13:19,13:21,13:24,13:28,13:32,13:35,13:37,13:41,13:45,13:48,13:51,14:00
3580,13:28,13:31,13:34,13:37,13:39,13:42,13:46,13:50,13:53,13:55,13:59,14:03,14:06,14:09,14:18
3584,13:46,13:49,13:52,13:55,13:57,14:00,14:04,14:08,14:11,14:13,14:17,14:21,14:24,14:27,14:36
3586,14:04,14:07,14:10,14:13,14:15,14:18,14:22,14:26,14:29,14:31,14:35,14:39,14:42,14:45,14:54
3590,14:22,14:25,14:28,14:31,14:33,14:36,14:40,14:44,14:47,14:49,14:53,14:57,15:00,15:03,15:12
3592,14:40,14:43,14:46,14:49,14:51,14:54,14:58,15:02,15:05,15:07,15:11,15:15,15:18,15:21,15:30
3596,14:59,15:02,15:05,15:08,15:10,15:13,15:17,15:21,15:24,15:26,15:30,15:34,15:37,15:40,15:49
3598,15:16,15:19,15:22,15:25,15:27,15:30,15:34,15:38,15:41,15:43,15:47,15:51,15:54,15:57,16:06
3602,15:34,15:37,15:40,15:43,15:45,15:48,15:52,15:56,15:59,16:01,16:05,16:09,16:12,16:15,16:24
3604,15:52,15:55,15:58,16:01,16:03,16:06,16:10,16:14,16:17,16:19,16:23,16:27,16:30,16:33,16:42
3608,16:10,16:13,16:16,16:19,16:21,16:24,16:28,16:32,16:35,16:37,16:41,16:45,16:48,16:51,17:00
3610,16:28,16:31,16:34,16:37,16:39,16:42,16:46,16:50,16:53,16:55,16:59,17:03,17:06,17:09,17:18
3614,16:46,16:49,16:52,16:55,16:57,17:00,17:04,17:08,17:11,17:13,17:17,17:21,17:24,17:27,17:36
3616,17:04,17:07,17:10,17:13,17:15,17:18,17:22,17:26,17:29,17:31,17:35,17:39,17:42,17:45,17:54
3620,17:22,17:25,17:28,17:31,17:33,17:36,17:40,17:44,17:47,17:49,17:53,17:57,18:00,18:03,18:12
3622,17:41,17:44,17:47,17:50,17:52,17:55,17:59,18:03,18:06,18:08,18:12,18:16,18:19,18:22,18:31
3626,17:58,18:01,18:04,18:07,18:09,18:12,18:16,18:20,18:23,18:25,18:29,18:33,18:36,18:39,18:48
3628,18:16,18:19,18:22,18:25,18:27,18:30,18:34,18:38,18:41,18:43,18:47,18:51,18:54,18:57,19:06
3632,18:34,18:37,18:40,18:43,18:45,18:48,18:52,18:56,18:59,19:01,19:05,19:09,19:12,19:15,19:24
3634,18:52,18:55,18:58,19:01,19:03,19:06,19:10,19:14,19:17,19:19,19:23,19:27,19:30,19:33,19:42
3638,19:10,19:13,19:16,19:19,19:21,19:24,19:28,19:32,19:35,19:37,19:41,19:45,19:48,19:51,20:00
3640,19:28,19:31,19:34,19:37,19:39,19:42,19:46,19:50,19:53,19:55,19:59,20:03,20:06,20:09,20:18
3644,19:46,19:49,19:52,19:55,19:57,20:00,20:04,20:08,20:11,20:13,20:17,20:21,20:24,20:27,20:36
3646,20:04,20:07,20:10,20:13,20:15,20:18,20:22,20:26,20:29,20:31,20:35,20:39,20:42,20:45,20:54
3650,20:22,20:25,20:28,20:31,20:33,20:36,20:40,20:44,20:47,20:49,20:53,20:57,21:00,21:03,21:12
3652,20:40,20:43,20:46,20:49,20:51,20:54,20:58,21:02,21:05,21:07,21:11,21:15,21:18,21:21,21:30
3656,20:58,21:01,21:04,21:07,21:09,21:12,21:16,21:20,21:23,21:25,21:29,21:33,21:36,21:39,21:48
3658,21:16,21:19,21:22,21:25,21:27,21:30,21:34,21:38,21:41,21:43,21:47,21:51,21:54,21:57,22:06
3662,21:40,21:43,21:46,21:49,21:51,21:54,21:58,22:02,22:05,22:07,22:11,,,,
3664,22:05,22:08,22:11,22:14,22:16,22:19,22:23,22:27,22:30,22:32,22:36,,,,
