idEstacion,nombre,latitud,longitud
LR-CONST,PZA. CONSTITUCIÓN,-34.6303512,-58.3805802
LR-AVELL,D. SANTILLÁN Y M. KOSTEKI,-34.6620947,-58.3766492
LR-SARAN,SARANDÍ,-34.6787475,-58.3449626
LR-VDOMI,VILLA DOMÍNICO,-34.6915355,-58.3253499
LR-WILDE,WILDE,-34.6975894,-58.3111938
LR-DBOSC,DON BOSCO,-34.7033242,-58.2961718
LR-BERNA,BERNAL,-34.7093395,-58.2803725
LR-QUILM,QUILMES,-34.7243402,-58.2608888
LR-EZPEL,EZPELETA,-34.7518509,-58.2341863
LR-BERAZ,BERAZATEGUI,-34.7639154,-58.2088198
LR-PTNOS,PLÁTANOS,-34.7823359,-58.1707596
LR-HUDSO,HUDSON,-34.7909139,-58.1556292
LR-PEREY,PEREYRA,-34.8366304,-58.0945403
LR-VELIS,VILLA ELISA,-34.8497716,-58.0748099
LR-CBELL,CITY BELL,-34.8657239,-58.0420495
LR-GONNE,GONNET,-34.8798410,-58.0107856
LR-RINGU,RINGUELET,-34.8813876,-57.9960622
LR-TOLOS,TOLOSA,-34.8909547,-57.9680983
LR-LPLAT,LA PLATA,-34.9032966,-57.9509918
LR-HYRIG,HIPOLITO YRIGOYEN,-34.6536422,-58.3788878
LR-GERLI,GERLI,-34.6857287,-58.3826371
LR-LANUS,LANÚS,-34.7074543,-58.3906370
LR-ESCAL,R. DE ESCALADA,-34.7269127,-58.3936412
LR-BANFI,BANFIELD,-34.7439703,-58.3954618
LR-LZAMO,L. DE ZAMORA,-34.7612113,-58.3973326
LR-TEMPE,TEMPERLEY,-34.7772101,-58.3958850
LR-TURDE,TURDERA,-34.7950754,-58.4080951
LR-LLAVA,LLAVALLOL,-34.7971317,-58.4300258
LR-LGUIL,L. GUILLÓN,-34.8032178,-58.4485504
LR-MGRAN,MTE. GRANDE,-34.8144339,-58.4696989
LR-JAGUE,EL JAGÜEL,-34.8332274,-58.4961652
