SERVICIO,LR-CONST,LR-HYRIG,LR-AVELL,LR-GERLI,LR-LANUS,LR-ESCAL,LR-BANFI,LR-LZAMO,LR-TEMPE,LR-TURDE,LR-LLAVA,LR-LGUIL,LR-MGRAN,LR-JAGUE,LR-EZEIZ
3177,13:24,,13:31,13:35,13:39,13:42,13:45,13:48,13:51,13:55,14:00,14:03,14:06,14:10,14:14
3981,13:36,,13:43,13:47,13:51,13:54,13:57,14:00,14:03,14:07,14:12,,,,
3185,13:48,,13:55,13:59,14:03,14:06,14:09,14:12,14:15,14:19,14:24,14:27,14:30,14:34,14:38
3189,14:00,,14:07,14:11,14:15,14:18,14:21,14:24,14:27,14:31,14:36,14:39,14:42,14:46,14:50
3193,14:12,,14:19,14:23,14:27,14:30,14:33,14:36,14:39,14:43,14:48,14:51,14:54,14:58,15:02
3197,14:24,,14:31,14:35,14:39,14:42,14:45,14:48,14:51,14:55,15:00,15:03,15:06,15:10,15:14
3901,14:36,,14:43,14:47,14:51,14:54,14:57,15:00,15:03,15:07,15:12,,,,
3205,14:48,,14:55,14:59,15:03,15:06,15:09,15:12,15:15,15:19,15:24,15:27,15:30,15:34,15:38
3209,15:00,,15:07,15:11,15:15,15:18,15:21,15:24,15:27,15:31,15:36,15:39,15:42,15:46,15:50
3213,15:12,,15:19,15:23,15:27,15:30,15:33,15:36,15:39,15:43,15:48,15:51,15:54,15:58,16:02
3217,15:24,,15:31,15:35,15:39,15:42,15:45,15:48,15:51,15:55,16:00,16:03,16:06,16:10,16:14
3221,15:36,,15:43,15:47,15:51,15:54,15:57,16:00,16:03,16:07,16:12,16:15,16:18,16:22,16:26
3225,15:48,,15:55,15:59,16:03,16:06,16:09,16:12,16:15,16:19,16:24,16:27,16:30,16:34,16:38
3229,16:00,,16:07,16:11,16:15,16:18,16:21,16:24,16:27,16:31,16:36,16:39,16:42,16:46,16:50
3237,16:24,,16:31,16:35,16:39,16:42,16:45,16:48,16:51,16:55,17:00,17:03,17:06,17:10,17:14
3241,16:40,,16:47,16:50,16:54,16:56,16:58,17:01,17:03,17:07,17:12,17:15,17:18,17:22,17:26
3245,16:48,,16:55,16:59,17:03,17:06,17:09,17:12,17:15,17:19,17:24,17:27,17:30,17:34,17:38
3249,17:04,,17:11,17:14,17:18,17:20,17:22,17:25,17:27,17:31,17:36,17:39,17:42,17:46,17:50
3253,17:12,,17:19,17:23,17:27,17:30,17:33,17:36,17:39,17:43,17:48,17:51,17:54,17:58,18:02
